INFO  - 2014-09-15 13:40:19.725; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2014-09-15 13:40:19.726; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/hojoon/SmartSearch/SSEngine/solr-webapp/webapp/},/home/hojoon/SmartSearch/SSEngine/webapps/solr.war
INFO  - 2014-09-15 13:40:20.732; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=798147976
INFO  - 2014-09-15 13:40:20.733; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@1c077cfc
INFO  - 2014-09-15 13:40:20.733; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2014-09-15 13:40:20.734; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2014-09-15 13:40:20.734; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2014-09-15 13:40:20.734; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2014-09-15 13:40:20.738; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2014-09-15 13:40:20.739; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2014-09-15 13:40:20.740; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index [CachedDir<<refCount=0;path=/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index;done=false>>]
INFO  - 2014-09-15 13:40:20.740; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index
INFO  - 2014-09-15 13:40:20.741; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/hojoon/SmartSearch/SSEngine/solr/collection1/data [CachedDir<<refCount=0;path=/home/hojoon/SmartSearch/SSEngine/solr/collection1/data;done=false>>]
INFO  - 2014-09-15 13:40:20.741; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/hojoon/SmartSearch/SSEngine/solr/collection1/data
INFO  - 2014-09-15 13:40:20.743; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/home/hojoon/SmartSearch/SSEngine/solr-webapp/webapp/},/home/hojoon/SmartSearch/SSEngine/webapps/solr.war
INFO  - 2014-09-15 13:41:15.146; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-15 13:41:15.173; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/hojoon/SmartSearch/SSEngine/contexts at interval 0
INFO  - 2014-09-15 13:41:15.180; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/hojoon/SmartSearch/SSEngine/contexts/solr-jetty-context.xml
INFO  - 2014-09-15 13:41:16.126; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-15 13:41:16.170; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-15 13:41:16.191; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-15 13:41:16.191; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-09-15 13:41:16.193; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-09-15 13:41:16.316; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/hojoon/SmartSearch/SSEngine/solr/solr.xml
INFO  - 2014-09-15 13:41:16.434; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-15 13:41:16.442; org.apache.solr.core.CoreContainer; New CoreContainer 2091996413
INFO  - 2014-09-15 13:41:16.442; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-09-15 13:41:16.458; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-15 13:41:16.459; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-15 13:41:16.459; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-15 13:41:16.459; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-15 13:41:16.462; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-15 13:41:16.462; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-15 13:41:16.463; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
